PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40629422,A left-sided incarcerated Amyand hernia in a 4-month-old male infant: a case report.,2025Jul08,Alireza Ziyabakhsh; Keyvan Amini; Reza Panahizadeh; Mohammadamin Vatankhah,"Students Research Committee, School of Medicine, Ardabil University of Medical Sciences, Ardabil, Iran.; Department of Surgery, School of Medicine, Ardabil University of Medical Sciences, Ardabil, Iran.; Cancer Immunology and Immunotherapy Research Center, Ardabil University of Medical Sciences, Ardabil, Iran.; Radiology Department, Tabriz University of Medical Sciences, Tabriz, Iran.",hamedmharis@gmail.com.
40629032,Rationale of using immune checkpoint inhibitors (ICIs) and anti-angiogenic agents in cancer treatment from a molecular perspective.,2025Jul08,Amirhossein Mardi; Leili Aghebati-Maleki,"Student Research Committee, Tabriz University of Medical Sciences, Tabriz, Iran.; Immunology Research Center, Tabriz University of Medical Sciences, Tabriz, Iran. Leili_aghebati_maleki@yahoo.com.",maleki@yahoo.com.
40628732,Glioblastoma at the crossroads: current understanding and future therapeutic horizons.,2025Jul09,Devanjan Dey; Debashis Barik; Sujata Prasad; Amar Singh,"MLM Medical Labs LLC, Oakdale, MN, USA.; Center for Computational Natural Science and Bioinformatics, International Institute of Information Technology, Hyderabad, Telangana, India.; Schulze Diabetes Institute, Department of Surgery, University of Minnesota, Minneapolis, MN, USA. singh423@umn.edu.; Schulze Diabetes Institute, Department of Surgery, University of Minnesota, Minneapolis, MN, USA.",@umn.edu.
40628691,Cancer Research in the 21st Century: Recent Advances and Future Perspectives.,2025Jul09,Vrushali P Patole; Nirmala V Shinde; Siddhi M Chandak; Ashwini T Satalkar,"Department of Pharmaceutical Chemistry, SMBT College of Pharmacy Dhamangaon, Nashik, M.S. India-422403, Affiliated to Savitribai Phule Pune University, India.",
40628625,"Expression of Kappa Myeloma Antigen (KMA) and Lambda Myeloma Antigen (LMA) on Malignant but Not Normal Plasma Cells Offers Novel Therapeutic Targets for Patients With Myeloma, Amyloidosis and Other Plasma Cell Dyscrasias.",2025Jun05,Thomas X Lemarchand; Luise Britz; Rosanne Dunn,"Haemalogix Ltd, Sydney, New South Wales 2001, Australia.; TPL Path Labs GmbH, StageBio Company, Freiburg im Breisgau 79111, Germany.",gottlieb@sydney.edu.au.
40628539,Pericyte phenotype switching in cancer.,2025Jul07,Bo He; Ruth Ganss,"Cancer Microenvironment Laboratory, Harry Perkins Institute of Medical Research, QEII Medical Centre and Centre for Medical Research, The University of Western Australia, Perth, Australia.; Cancer Microenvironment Laboratory, Harry Perkins Institute of Medical Research, QEII Medical Centre and Centre for Medical Research, The University of Western Australia, Perth, Australia. Electronic address: ganss@perkins.org.au.",ganss@perkins.org.au.
40628289,Understanding antibody-target antigen interactions and the avidity effect using mathematical modelling.,2025Jul,James Yates,"GSK plc, Stevenage, UK.",
40628269,The costimulatory molecule ICOS limits memory-like properties and function of exhausted PD-1,2025Jul01,Carlos Alberto de Carvalho Fraga; Helder I Nakaya,"Department of Clinical and Toxicological Analyses, School of Pharmaceutical Sciences, University of São Paulo, São Paulo 05508, Brazil; Hospital Israelita Albert Einstein, São Paulo 05620, Brazil.; Federal University of Alagoas, Arapiraca Campus, Center of Medical Sciences, Bom Sucesso, Alagoas 57309, Brazil.",humblin@gmail.com.
40628264,Neutralization of acyl coenzyme A binding protein for the experimental prevention and treatment of hepatocellular carcinoma.,2025Jul02,Sijing Li; Omar Motiño; Flavia Lambertucci; Jonathan Pol; Hui Chen; Sylvère Durand; Léa Montégut; María Pérez-Lanzón; Gerasimos Anagnostopoulos; Uxia Nogueira-Recalde; Alexandra Cerone; Fanny Aprahamian; Yanbing Dong; Manuela Lizarralde-Guerrero; Enfu Xue; Peng Liu; Liwei Zhao; Hui Pan; Vincent Carbonnier; Sylvie Lachkar; Ester Gloria Saavedra Díaz; Li Sun; Chantal Desdouets; Sabine Colnot; Oliver Kepp; Isabelle Martins; Laurence Zitvogel; Maria Chiara Maiuri; Guido Kroemer,"Université Paris Cité, Sorbonne Université, Inserm U1138, Centre de Recherche des Cordeliers, F-75006 Paris, France; Équipe Labellisée Par La Ligue Contre le Cancer, Institut Universitaire de France, Paris, France; Université Paris-Saclay, INSERM US23 / CNRS UAR 3655, Metabolomics and Cell Biology Platforms, Institut Gustave Roussy, 94805 Villejuif, France; Grupo de Investigación en Reumatología (GIR), Instituto de Investigación Biomédica de A Coruña (INIBIC), Fundación Profesor Novoa Santos, A Coruña, Spain.; Université Paris Cité, Sorbonne Université, Inserm U1138, Centre de Recherche des Cordeliers, F-75006 Paris, France; Équipe Labellisée Par La Ligue Contre le Cancer, Institut Universitaire de France, Paris, France; Université Paris-Saclay, INSERM US23 / CNRS UAR 3655, Metabolomics and Cell Biology Platforms, Institut Gustave Roussy, 94805 Villejuif, France; Institut du Cancer Paris CARPEM, Department of Biology, Hôpital Européen Georges Pompidou, AP-HP, Paris, France. Electronic address: kroemer@orange.fr.; Université Paris Cité, Sorbonne Université, Inserm U1138, Centre de Recherche des Cordeliers, F-75006 Paris, France; Équipe Labellisée Par La Ligue Contre le Cancer, Institut Universitaire de France, Paris, France; Université Paris-Saclay, INSERM US23 / CNRS UAR 3655, Metabolomics and Cell Biology Platforms, Institut Gustave Roussy, 94805 Villejuif, France; Faculté de Médecine, Université de Paris Saclay, Kremlin Bicêtre, Paris, France.; Team Genomic Instability, Metabolism, Immunity and Liver Tumorigenesis Laboratory, Equipe Labellisée LIGUE 2023, Centre de Recherche des Cordeliers, Sorbonne Université, INSERM, Université de Paris, Paris, France.; Gustave Roussy Cancer Center, ClinicoBiome, 94805 Villejuif, France; Université Paris Saclay, Faculty of Medicine, 94270 Kremlin Bicêtre, France; Inserm U1015, Equipe Labellisée Par La Ligue Contre le Cancer, 94800 Villejuif, France; Center of Clinical Investigations in Biotherapies of Cancer (CICBT), Gustave Roussy, 94805 Villejuif, France.; Université Paris Cité, Sorbonne Université, Inserm U1138, Centre de Recherche des Cordeliers, F-75006 Paris, France; Équipe Labellisée Par La Ligue Contre le Cancer, Institut Universitaire de France, Paris, France; Department of Molecular Medicine and Medical Biotechnologies, University of Napoli Federico II, 80131 Naples, Italy. Electronic address: maria-chiara.maiuri@inserm.fr.; Team ""Oncogenic functions of β-catenin Signaling in the Liver (ONCOLIV)"", Centre de Recherche des Cordeliers, Equipe Labellisée Par La Ligue Contre le Cancer, Inserm U1138, Université Paris Cité, Sorbonne Université, Paris, France.; Université Paris Cité, Sorbonne Université, Inserm U1138, Centre de Recherche des Cordeliers, F-75006 Paris, France; Équipe Labellisée Par La Ligue Contre le Cancer, Institut Universitaire de France, Paris, France; Université Paris-Saclay, INSERM US23 / CNRS UAR 3655, Metabolomics and Cell Biology Platforms, Institut Gustave Roussy, 94805 Villejuif, France.; Jiangsu Key Laboratory of Drug Screening, China Pharmaceutical University, Nanjing, China.; Université Paris Cité, Sorbonne Université, Inserm U1138, Centre de Recherche des Cordeliers, F-75006 Paris, France; Équipe Labellisée Par La Ligue Contre le Cancer, Institut Universitaire de France, Paris, France; Université Paris-Saclay, INSERM US23 / CNRS UAR 3655, Metabolomics and Cell Biology Platforms, Institut Gustave Roussy, 94805 Villejuif, France; Departamento de Bioquímica y Biología Molecular, Fisiología, Genética e Inmunología, Instituto Universitario de Investigaciones Biomédicas y Sanitarias (IUIBS), Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain.",maiuri@inserm.fr.
40628177,Molecular determinants of survival in metastatic uveal melanoma: The impact of SF3B1 mutations.,2025Jun24,Mar Varela; Sergi Villatoro,"Department of Pathology, Hospital Universitari de Bellvitge, L'Hospitalet de Llobregat, Barcelona, Spain; Laboratori Core d'Anàlisi Molecular, Hospital Universitari de Bellvitge-Institut Català d'Oncologia, L'Hospitalet de Llobregat, Barcelona, Spain.",lpdelcarpio@iconcologia.net.
